name,affiliation,title,Faculty?,online,photo
Haoyu Liu,National Sun Yat-Sen University,Dust coagulation inside and outside of water snowline,Yes,no,
Hsien Shang,ASIAA,TBD,Yes,no,
Satoshi Okuzumi,Tokyo Institute of Science,TBD,Yes,no,
Kengo Tomida,Tohoku University,TBD,Yes,no,
Chris Ormel,Tsinghua University,TBD,Yes,no,
Songhu Wang,"Indiana University, Bloomington",TBD,Yes,no,
Ji Wang,Ohio State University,TBD,Yes,yes,
Xiao Hu,Harbin Institute of Technology,TBD,Yes,no,
Haifeng Yang,Zhejiang University,TBD,Yes,no,
Akimasa Kataoka,National Astronomical Observatory of Japan ,TBD,Yes,no,
Daniel Price,Monash University,TBD,Yes,no,
Daniel Harsono,National Tsinghua University,TBD,Yes,no,
Fei Dai,University of Hawaii,TBD,Yes,yes,
Xuening Bai,Tsinghua University,TBD,Yes,no,
Xuesong Wang,Tsinghua University,TBD,Yes,no,
Feng Long,KIAA Peking University,TBD,Yes,no,
Ruobin Dong,KIAA Peking University,TBD,Yes,no,
Yinhao Wu,NAOJ,TBD,No,no,
Pinghui Huang,PMO,TBD,Yes,no,
Manogna,National Tsinghua University,TBD,No,no,
Mario Flock,MPIA,TBD,Yes,yes,
Jinlin Li,KIAA Peking University,TBD,No,no,
